tree_code,image_id,acquisition_date,product_type,crown_area_m2,crown_diameter_m,pan_ndvi_mean,pan_ndvi_median,pan_ndvi_p10,pan_gndvi_mean,pan_savi_mean,analytic_ndvi_mean,analytic_gndvi_mean,analytic_savi_mean,final_ndvi_mean,health_index,canopy_density_score,fragmentation_score,shadow_fraction,anomaly_flag,recommended_action,red_mean,green_mean,blue_mean,nir_mean,review_status,review_source
KOG-THOELIEB-0117,pansharpened_reflectance_401e6b905b,2026-01-22,pansharpened_reflectance+manual_review,35.0,6.676,0.3076114058494568,0.3011224865913391,0.25541460514068604,0.4182390570640564,0.4613393545150757,,,,0.3076114058494568,35.5,0.833,0.349,0.0,True,"Field inspection: check irrigation, pruning, stress.",1054.57861328125,816.1714477539062,605.5071411132812,1986.6142578125,unreviewed,auto
KOG-THOELIEB-0118,pansharpened_reflectance_401e6b905b,2026-01-22,pansharpened_reflectance+manual_review,48.0,7.818,0.31096360087394714,0.2998371422290802,0.2605205774307251,0.4303554594516754,0.46636998653411865,,,,0.31096360087394714,32.2,0.533,0.641,0.0,True,"Field inspection: check irrigation, pruning, stress.",1161.6978759765625,883.890625,663.2604370117188,2187.192626953125,unreviewed,auto
KOG-THOELIEB-0119,pansharpened_reflectance_401e6b905b,2026-01-22,pansharpened_reflectance+manual_review,35.25,6.699,0.315760999917984,0.31150931119918823,0.2616747319698334,0.4236772358417511,0.4735605716705322,,,,0.315760999917984,37.2,0.775,0.392,0.0,True,"Field inspection: check irrigation, pruning, stress.",1042.9290771484375,808.6312255859375,611.0922241210938,1991.7943115234375,unreviewed,auto
KOG-THOELIEB-0120,pansharpened_reflectance_401e6b905b,2026-01-22,pansharpened_reflectance+manual_review,39.25,7.069,0.3097394108772278,0.301870733499527,0.25663310289382935,0.40266886353492737,0.46452271938323975,,,,0.3097394108772278,35.9,0.71,0.487,0.0,True,"Field inspection: check irrigation, pruning, stress.",952.0955200195312,773.5095825195312,579.3821411132812,1806.4267578125,unreviewed,auto
KOG-THOELIEB-0121,pansharpened_reflectance_401e6b905b,2026-01-22,pansharpened_reflectance+manual_review,41.25,7.247,0.3197404742240906,0.31519538164138794,0.2622750401496887,0.4346044361591339,0.47952112555503845,,,,0.3197404742240906,37.9,0.747,0.424,0.0,True,"Field inspection: check irrigation, pruning, stress.",949.5757446289062,730.0969848632812,544.2120971679688,1836.2060546875,unreviewed,auto
KOG-THOELIEB-0122,pansharpened_reflectance_401e6b905b,2026-01-22,pansharpened_reflectance+manual_review,37.5,6.91,0.2870839536190033,0.2848767042160034,0.2535271644592285,0.3967530131340027,0.43054696917533875,,,,0.2870839536190033,27.4,0.625,0.567,0.0,True,"Field inspection: check irrigation, pruning, stress.",1001.0933227539062,782.0333251953125,585.7933349609375,1806.693359375,unreviewed,auto
KOG-THOELIEB-0123,pansharpened_reflectance_401e6b905b,2026-01-22,pansharpened_reflectance+manual_review,38.0,6.956,0.312981516122818,0.3032906651496887,0.2562370300292969,0.40971630811691284,0.4693929851055145,,,,0.312981516122818,32.6,0.679,0.469,0.0,True,"Field inspection: check irrigation, pruning, stress.",1061.7236328125,849.38818359375,611.8223876953125,2022.0526123046875,unreviewed,auto
KOG-THOELIEB-0124,pansharpened_reflectance_401e6b905b,2026-01-22,pansharpened_reflectance+manual_review,26.5,5.809,0.3032812774181366,0.3078596591949463,0.26202279329299927,0.40183380246162415,0.45484036207199097,,,,0.3032812774181366,34.7,0.757,0.467,0.0,True,"Field inspection: check irrigation, pruning, stress.",993.4716796875,796.1886596679688,600.4811401367188,1855.8302001953125,unreviewed,auto
KOG-THOELIEB-0125,pansharpened_reflectance_401e6b905b,2026-01-22,pansharpened_reflectance+manual_review,32.75,6.457,0.3017118573188782,0.30011653900146484,0.25925925374031067,0.4246981739997864,0.4524911344051361,,,,0.3017118573188782,34.3,0.72,0.511,0.0,True,"Field inspection: check irrigation, pruning, stress.",1078.969482421875,822.5648803710938,603.572509765625,2007.1527099609375,unreviewed,auto
KOG-THOELIEB-0126,pansharpened_reflectance_401e6b905b,2026-01-22,pansharpened_reflectance+manual_review,35.25,6.699,0.3260743021965027,0.318572074174881,0.2644098699092865,0.43200990557670593,0.48902395367622375,,,,0.3260743021965027,35.2,0.678,0.473,0.0,True,"Field inspection: check irrigation, pruning, stress.",976.3191528320312,765.2978515625,569.7446899414062,1917.74462890625,unreviewed,auto
